sis_account_id, regex
junior_maths,"^(07|08|09|10)MAT[A-Z].*"
maths_a,"^(11|12)MAA.*"
maths_b,"^(11|12)MAB.*"
maths_c,"^(11|12)MAC.*"
english,"^[0-9]{2}(ENG|LIT).*"
science,"^[0-9]{2}(SCI|ISCI).*$"
biology,"^[0-9]{2}BIO.*"
chemistry,"^[0-9]{2}CHE.*"
physics,"^[0-9]{2}PHY.*"
religion,"^[0-9]{2}RE[A-Z]{1}.*$"
sor,"^[0-9]{2}SOR.*$"
visual_arts,"^[0-9]{2}(CRA|VAR).*$"
dance,"^[0-9]{2}DAN.*$"
drama,"^[0-9]{2}DRA.*$"
music,"^[0-9]{2}MUS.*$"
ict,"^[0-9]{2}(ICT|ITS).*$"
textiles,"^[0-9]{2}TEX.*$"
foodtech,"^[0-9]{2}FTEC.*$"
homeec,"^[0-9]{2}HEC.*$"
italian,"^[0-9]{2}ITL.*$"
japanese,"^[0-9]{2}JAP.*$"
chinese,"^[0-9]{2}CHI.*$"
humanities,"^[0-9]{2}HUM.*$"
legal,"^[0-9]{2}LS[A-Z]{1}.*$"
business,"^[0-9]{2}BUS.*$"
geography,"^[0-9]{2}GEO.*$"
accounting,"^[0-9]{2}ACC.*$"
rae,"^[0-9]{2}RAE.*$"
ecom,"^[0-9]{2}ECOM.*$"
history,"^[0-9]{2}(HIS|MHI).*$"
maths,"^[0-9]{2}(NUM|PVM).*$"
hpe,"^[0-9]{2}(HPE|SIS).*$"
pe,"^[0-9]{2}PE.*$"
designtech,"^[0-9]{2}(DT|DTF|ITD|IDT).*$"
sel,"^(GP-[0-9]{2}SEL.*|[0-9]{2}PD.*)"
