course_id,short_name,long_name,term_id,status,account_id
07DAN_t4_2016,07DAN,Dance07DAN,t4_2016,active,dance
07DANC_t4_2016,07DANC,DanceC,t4_2016,active,dance
07DRA_t4_2016,07DRA,Drama07DRA,t4_2016,active,drama
07DRAC_t4_2016,07DRAC,DramaC,t4_2016,active,drama
07DT_t4_2016,07DT,Design and Technology07DT,t4_2016,active,designtech
07DTB_t4_2016,07DTB,Design and TechnologyB,t4_2016,active,designtech
07DTC_t4_2016,07DTC,Design and TechnologyC,t4_2016,active,designtech
07ENGA_t4_2016,07ENGA,EnglishA,t4_2016,active,english
07ENGB_t4_2016,07ENGB,EnglishB,t4_2016,active,english
07ENGC_t4_2016,07ENGC,EnglishC,t4_2016,active,english
07ENGD_t4_2016,07ENGD,EnglishD,t4_2016,active,english
07FTEC_t4_2016,07FTEC,Food Technology07FTEC,t4_2016,active,foodtech
07FTECB_t4_2016,07FTECB,Food TechnologyB,t4_2016,active,foodtech
07FTECC_t4_2016,07FTECC,Food TechnologyC,t4_2016,active,foodtech
07HPEA_t4_2016,07HPEA,Health & Physical EducationA,t4_2016,active,hpe
07HPEB_t4_2016,07HPEB,Health & Physical EducationB,t4_2016,active,hpe
07HUMA_t4_2016,07HUMA,HumanitiesA,t4_2016,active,humanities
07HUMB_t4_2016,07HUMB,HumanitiesB,t4_2016,active,humanities
07HUMC_t4_2016,07HUMC,HumanitiesC,t4_2016,active,humanities
07HUMD_t4_2016,07HUMD,HumanitiesD,t4_2016,active,humanities
07ICT_t4_2016,07ICT,Information Communication & Technology07ICT,t4_2016,active,ict
07ICTD_t4_2016,07ICTD,Information Communication & TechnologyD,t4_2016,active,ict
07ITL_t4_2016,07ITL,Italian07ITL,t4_2016,active,italian
07ITLD_t4_2016,07ITLD,ItalianD,t4_2016,active,italian
07JAP_t4_2016,07JAP,Japanese07JAP,t4_2016,active,japanese
07JAPB_t4_2016,07JAPB,JapaneseB,t4_2016,active,japanese
07JAPD_t4_2016,07JAPD,JapaneseD,t4_2016,active,japanese
07LITA_t4_2016,07LITA,07LITA,t4_2016,active,english
07LSA_t4_2016,07LSA,07LSA,t4_2016,active,legal
07LSB_t4_2016,07LSB,07LSB,t4_2016,active,legal
07MATA_t4_2016,07MATA,MathematicsA,t4_2016,active,junior_maths
07MATB_t4_2016,07MATB,MathematicsB,t4_2016,active,junior_maths
07MATC_t4_2016,07MATC,MathematicsC,t4_2016,active,junior_maths
07MATD_t4_2016,07MATD,MathematicsD,t4_2016,active,junior_maths
07MATE_t4_2016,07MATE,MathematicsE,t4_2016,active,junior_maths
07MUS_t4_2016,07MUS,Music07MUS,t4_2016,active,music
07MUSA_t4_2016,07MUSA,MusicA,t4_2016,active,music
07REA_t4_2016,07REA,ReligionA,t4_2016,active,religion
07REB_t4_2016,07REB,ReligionB,t4_2016,active,religion
07REC_t4_2016,07REC,ReligionC,t4_2016,active,religion
07RED_t4_2016,07RED,ReligionD,t4_2016,active,religion
07VAR_t4_2016,07VAR,Visual Art07VAR,t4_2016,active,visual_arts
07VARA_t4_2016,07VARA,Visual ArtA,t4_2016,active,visual_arts
08DANA_t4_2016,08DANA,DanceA,t4_2016,active,dance
08DANC_t4_2016,08DANC,DanceC,t4_2016,active,dance
08DRAA_t4_2016,08DRAA,DramaA,t4_2016,active,drama
08DRAC_t4_2016,08DRAC,DramaC,t4_2016,active,drama
08DT_t4_2016,08DT,Design Technology08DT,t4_2016,active,designtech
08DTF_t4_2016,08DTF,Fibre Technology08DTF,t4_2016,active,designtech
08DTFB_t4_2016,08DTFB,Fibre TechnologyB,t4_2016,active,designtech
08DTFC_t4_2016,08DTFC,Fibre TechnologyC,t4_2016,active,designtech
