course_id,user_id,role,section_id,status
11ENG5B_t4_2016,103707,student,,active
11HEC4A_t4_2016,103707,student,,active
11MAA2B_t4_2016,103707,student,,active
11PDB_t4_2016,103707,student,,active
11PE_COMBINED_T4,103707,student,11PE3A_t4_2016,active
11RAE1B_t4_2016,103707,student,,active
11SCI21_COMBINED_T4,103707,student,11SCI217B_t4_2016,active
11SIS313C36A_t4_2016,103707,student,,active
12ACC_COMBINED_T4,103700,student,12ACC5B_t4_2016,active
12CHE_COMBINED_T4,103700,student,12CHE7B_t4_2016,active
12ENG4B_t4_2016,103700,student,,active
12LST_COMBINED_T4,103700,student,12LST3A_t4_2016,active
12MAB2A_t4_2016,103700,student,,active
12PD8B_t4_2016,103700,student,,active
12RAE1B_t4_2016,103700,student,,active
12VAR6B_t4_2016,103700,student,,active
09DRAA_t4_2016,110313,student,,active
09ENGA_t4_2016,110313,student,,active
09HPE_COMBINED_T4,110313,student,09HPED_t4_2016,active
09MATB_t4_2016,110313,student,,active
09REB_t4_2016,110313,student,,active
09SCI_COMBINED_T4,110313,student,09SCIA_t4_2016,active
09VARB_t4_2016,110313,student,,active
GP-09SELB_t4_2016,110313,student,,active
10BUSB_t4_2016,103801,student,,active
10ENGD_t4_2016,103801,student,,active
10HPE_COMBINED_T4,103801,student,10HPEC2B_t4_2016,active
10ICTC_t4_2016,103801,student,,active
10MATB_t4_2016,103801,student,,active
10PHYD_t4_2016,103801,student,,active
10REC_t4_2016,103801,student,,active
10SEL_COMBINED_T4,103801,student,GP-10SELC_t4_2016,active
07ENGB_t4_2016,104530,student,,active
07HPEA_t4_2016,104530,student,,active
07HUMB_t4_2016,104530,student,,active
07ITLA_t4_2016,104530,student,,active
07MATB_t4_2016,104530,student,,active
07REA_t4_2016,104530,student,,active
07SCI_COMBINED_T4,104530,student,07SCIB_t4_2016,active
GP-07SELA_t4_2016,104530,student,,active
11DRA5A_t4_2016,103776,student,,active
11ENG3A_t4_2016,103776,student,,active
11LST_COMBINED_T4,103776,student,11LST4B_t4_2016,active
11MAA2A_t4_2016,103776,student,,active
11MHIS6B_t4_2016,103776,student,,active
11PDD_t4_2016,103776,student,,active
11RAE1D_t4_2016,103776,student,,active
11SCI21_COMBINED_T4,103776,student,11SCI217B_t4_2016,active
08ENGA_t4_2016,105338,student,,active
08HUM_COMBINED_T4,105338,student,08HUME_t4_2016,active
08ITDA_t4_2016,105338,student,,active
08JAPA_t4_2016,105338,student,,active
08MATE_t4_2016,105338,student,,active
08REA_t4_2016,105338,student,,active
08SCI_COMBINED_T4,105338,student,08SCIA_t4_2016,active
GP-08SELA_t4_2016,105338,student,,active
12ACC_COMBINED_T4,103264,student,12ACC3A_t4_2016,active
12BIO_COMBINED_T4,103264,student,12BIO6B_t4_2016,active
12CHE_COMBINED_T4,103264,student,12CHE4A_t4_2016,active
12ENG7E_t4_2016,103264,student,,active
12MAB2A_t4_2016,103264,student,,active
12PD8A_t4_2016,103264,student,,active
12PE5A_t4_2016,103264,student,,active
12RAE1A_t4_2016,103264,student,,active
08ENGE_t4_2016,110647,student,,active
08HUM_COMBINED_T4,110647,student,08HUMC_t4_2016,active
08ICTC_t4_2016,110647,student,,active
08ITLC_t4_2016,110647,student,,active
08MATA_t4_2016,110647,student,,active
08REC_t4_2016,110647,student,,active
08SCI_COMBINED_T4,110647,student,08SCIE_t4_2016,active
GP-08SELC_t4_2016,110647,student,,active
11CHE_COMBINED_T4,103660,student,11CHE7B_t4_2016,active
11ENG6D_t4_2016,103660,student,,active
11MAB2B_t4_2016,103660,student,,active
11PDC_t4_2016,103660,student,,active
11PHY5A_t4_2016,103660,student,,active
11SOR3A_t4_2016,103660,student,,active
11VAR4A_t4_2016,103660,student,,active
11ENG5B_t4_2016,103543,student,,active
11ITS3A_t4_2016,103543,student,,active
11MAA2B_t4_2016,103543,student,,active
11PDB_t4_2016,103543,student,,active
11RAE1B_t4_2016,103543,student,,active
11SCI21_COMBINED_T4,103543,student,11SCI217B_t4_2016,active
11VAR4A_t4_2016,103543,student,,active
11ACC_COMBINED_T4,103742,student,11ACC5A_t4_2016,active
11CHE_COMBINED_T4,103742,student,11CHE7B_t4_2016,active
11ENG3A_t4_2016,103742,student,,active
11JAP6A_t4_2016,103742,student,,active
11MAA2B_t4_2016,103742,student,,active
11PDA_t4_2016,103742,student,,active
11RAE1A_t4_2016,103742,student,,active
11VAR4A_t4_2016,103742,student,,active
12ACC_COMBINED_T4,103593,student,12ACC5B_t4_2016,active
12CHE_COMBINED_T4,103593,student,12CHE4A_t4_2016,active
12ENG7E_t4_2016,103593,student,,active
12LST_COMBINED_T4,103593,student,12LST3A_t4_2016,active
12MAB2B_t4_2016,103593,student,,active
12PD8C_t4_2016,103593,student,,active
12RAE1C_t4_2016,103593,student,,active
12CHE_COMBINED_T4,103287,student,12CHE4A_t4_2016,active
12ENG3A_t4_2016,103287,student,,active
12ITL6A_t4_2016,103287,student,,active
12MAB2B_t4_2016,103287,student,,active
12MAC5A_t4_2016,103287,student,,active
12PD8A_t4_2016,103287,student,,active
12RAE1A_t4_2016,103287,student,,active
09BUSA_t4_2016,104501,student,,active
09ENGA_t4_2016,104501,student,,active
09HPE_COMBINED_T4,104501,student,09HPEC_t4_2016,active
09ICTB_t4_2016,104501,student,,active
09MATA_t4_2016,104501,student,,active
09RED_t4_2016,104501,student,,active
09SCI_COMBINED_T4,104501,student,09SCIA_t4_2016,active
GP-09SELD_t4_2016,104501,student,,active
12ENG5C_t4_2016,103574,student,,active
12LST_COMBINED_T4,103574,student,12LST4B_t4_2016,active
12MAA_COMBINED_T4,103574,student,12MAA2A_t4_2016,active
12PD8C_t4_2016,103574,student,,active
12SCI21_COMBINED_T4,103574,student,12SCI217B_t4_2016,active
12SOR3A_t4_2016,103574,student,,active
08DTFA_t4_2016,109738,student,,active
08ENGD_t4_2016,109738,student,,active
08HUM_COMBINED_T4,109738,student,08HUMC_t4_2016,active
08JAPA_t4_2016,109738,student,,active
08MATE_t4_2016,109738,student,,active
08REA_t4_2016,109738,student,,active
08SCI_COMBINED_T4,109738,student,08SCID_t4_2016,active
GP-08SELA_t4_2016,109738,student,,active
10BUSB_t4_2016,103766,student,,active
10CHED_t4_2016,103766,student,,active
10ENGA_t4_2016,103766,student,,active
10HPE_COMBINED_T4,103766,student,10HPEC2B_t4_2016,active
10MATD_t4_2016,103766,student,,active
10REB_t4_2016,103766,student,,active
10VARC2A_t4_2016,103766,student,,active
10SEL_COMBINED_T4,103766,student,GP-10SELB_t4_2016,active
09BUSB_t4_2016,105325,student,,active
09ENGB_t4_2016,105325,student,,active
09HISD_t4_2016,105325,student,,active
09ICTB_t4_2016,105325,student,,active
09MATC_t4_2016,105325,student,,active
09REB_t4_2016,105325,student,,active
09SCI_COMBINED_T4,105325,student,09SCIB_t4_2016,active
GP-09SELB_t4_2016,105325,student,,active
09BUSB_t4_2016,104566,student,,active
09ENGD_t4_2016,104566,student,,active
09HISD_t4_2016,104566,student,,active
09HPE_COMBINED_T4,104566,student,09HPED_t4_2016,active
09MATC_t4_2016,104566,student,,active
09REC_t4_2016,104566,student,,active
09SCI_COMBINED_T4,104566,student,09SCID_t4_2016,active
GP-09SELC_t4_2016,104566,student,,active
09BUSA_t4_2016,109620,student,,active
09ENGB_t4_2016,109620,student,,active
09GEOA_t4_2016,109620,student,,active
09JAPA_t4_2016,109620,student,,active
09MATB_t4_2016,109620,student,,active
09REA_t4_2016,109620,student,,active
09SCI_COMBINED_T4,109620,student,09SCIB_t4_2016,active
GP-09SELA_t4_2016,109620,student,,active
09DRAA_t4_2016,108374,student,,active
09ENGA_t4_2016,108374,student,,active
09HPE_COMBINED_T4,108374,student,09HPEC_t4_2016,active
09JAPA_t4_2016,108374,student,,active
09MATA_t4_2016,108374,student,,active
09REC_t4_2016,108374,student,,active
09SCI_COMBINED_T4,108374,student,09SCIA_t4_2016,active
GP-09SELC_t4_2016,108374,student,,active
10DANA_t4_2016,103656,student,,active
10ENGB_t4_2016,103656,student,,active
10HPE_COMBINED_T4,103656,student,10HPEE_t4_2016,active
10ISCID_t4_2016,103656,student,,active
10MATE_t4_2016,103656,student,,active
10REC_t4_2016,103656,student,,active
10TEXB_t4_2016,103656,student,,active
10SEL_COMBINED_T4,103656,student,GP-10SELC_t4_2016,active
10CHED_t4_2016,111653,student,,active
10ENGC_t4_2016,111653,student,,active
10HPE_COMBINED_T4,111653,student,10HPEC2B_t4_2016,active
10MATA_t4_2016,111653,student,,active
10RED_t4_2016,111653,student,,active
10VARC2A_t4_2016,111653,student,,active
10SEL_COMBINED_T4,111653,student,GP-10SELD_t4_2016,active
07ENGA_t4_2016,109725,student,,active
07HUMA_t4_2016,109725,student,,active
07ICTC_t4_2016,109725,student,,active
07MATA_t4_2016,109725,student,,active
07REC_t4_2016,109725,student,,active
07SCI_COMBINED_T4,109725,student,07SCIA_t4_2016,active
07VARC_t4_2016,109725,student,,active
GP-07SELC_t4_2016,109725,student,,active
10CHED_t4_2016,103419,student,,active
10ENGD_t4_2016,103419,student,,active
10HISE_t4_2016,103419,student,,active
10HPE_COMBINED_T4,103419,student,10HPED_t4_2016,active
10JAPC2A_t4_2016,103419,student,,active
10MATA_t4_2016,103419,student,,active
10REB_t4_2016,103419,student,,active
10SEL_COMBINED_T4,103419,student,GP-10SELB_t4_2016,active
12ENG4B_t4_2016,103513,student,,active
12GEO7A_t4_2016,103513,student,,active
12MAA_COMBINED_T4,103513,student,12MAA2B_t4_2016,active
12PD8B_t4_2016,103513,student,,active
12PE6B_t4_2016,103513,student,,active
12SOR3A_t4_2016,103513,student,,active
10BIOD_t4_2016,111055,student,,active
10ENGD_t4_2016,111055,student,,active
10HPE_COMBINED_T4,111055,student,10HPED_t4_2016,active
10MATE_t4_2016,111055,student,,active
10REC_t4_2016,111055,student,,active
10TEXB_t4_2016,111055,student,,active
10VARC2A_t4_2016,111055,student,,active
10SEL_COMBINED_T4,111055,student,GP-10SELC_t4_2016,active
10DANA_t4_2016,103437,student,,active
10ENGD_t4_2016,103437,student,,active
10HISE_t4_2016,103437,student,,active
10HPE_COMBINED_T4,103437,student,10HPEC2B_t4_2016,active
10MATA_t4_2016,103437,student,,active
10PHYD_t4_2016,103437,student,,active
10RED_t4_2016,103437,student,,active
10SEL_COMBINED_T4,103437,student,GP-10SELD_t4_2016,active
10ENGA_t4_2016,111052,student,,active
10FTECB_t4_2016,111052,student,,active
10HISD_t4_2016,111052,student,,active
10MATB_t4_2016,111052,student,,active
10PHYD_t4_2016,111052,student,,active
10RED_t4_2016,111052,student,,active
10VARC2A_t4_2016,111052,student,,active
