section_id,course_id,name,status
07SCIA_t4_2016,07SCI_COMBINED_T4,07SCIA,active
07SCIB_t4_2016,07SCI_COMBINED_T4,07SCIB,active
07SCIC_t4_2016,07SCI_COMBINED_T4,07SCIC,active
07SCID_t4_2016,07SCI_COMBINED_T4,07SCID,active
08HPEB_t4_2016,08HPE_COMBINED_T4,08HPEB,active
08HPED_t4_2016,08HPE_COMBINED_T4,08HPED,active
08HUMA_t4_2016,08HUM_COMBINED_T4,08HUMA,active
08HUMB_t4_2016,08HUM_COMBINED_T4,08HUMB,active
08HUMC_t4_2016,08HUM_COMBINED_T4,08HUMC,active
08HUMD_t4_2016,08HUM_COMBINED_T4,08HUMD,active
08HUME_t4_2016,08HUM_COMBINED_T4,08HUME,active
08SCIA_t4_2016,08SCI_COMBINED_T4,08SCIA,active
08SCIB_t4_2016,08SCI_COMBINED_T4,08SCIB,active
08SCIC_t4_2016,08SCI_COMBINED_T4,08SCIC,active
08SCID_t4_2016,08SCI_COMBINED_T4,08SCID,active
08SCIE_t4_2016,08SCI_COMBINED_T4,08SCIE,active
09HPEC_t4_2016,09HPE_COMBINED_T4,09HPEC,active
09HPED_t4_2016,09HPE_COMBINED_T4,09HPED,active
09SCIA_t4_2016,09SCI_COMBINED_T4,09SCIA,active
09SCIB_t4_2016,09SCI_COMBINED_T4,09SCIB,active
09SCIC_t4_2016,09SCI_COMBINED_T4,09SCIC,active
09SCID_t4_2016,09SCI_COMBINED_T4,09SCID,active
10HPEC2B_t4_2016,10HPE_COMBINED_T4,10HPEC2B,active
10HPED_t4_2016,10HPE_COMBINED_T4,10HPED,active
10HPEE_t4_2016,10HPE_COMBINED_T4,10HPEE,active
11ACC5A_t4_2016,11ACC_COMBINED_T4,11ACC5A,active
11ACC7B_t4_2016,11ACC_COMBINED_T4,11ACC7B,active
11BIO5A_t4_2016,11BIO_COMBINED_T4,11BIO5A,active
11BIO6B_t4_2016,11BIO_COMBINED_T4,11BIO6B,active
11CHE4A_t4_2016,11CHE_COMBINED_T4,11CHE4A,active
11CHE7B_t4_2016,11CHE_COMBINED_T4,11CHE7B,active
11LST3A_t4_2016,11LST_COMBINED_T4,11LST3A,active
11LST4B_t4_2016,11LST_COMBINED_T4,11LST4B,active
11PE3A_t4_2016,11PE_COMBINED_T4,11PE3A,active
11PE5B_t4_2016,11PE_COMBINED_T4,11PE5B,active
11SCI216A_t4_2016,11SCI21_COMBINED_T4,11SCI216A,active
11SCI217B_t4_2016,11SCI21_COMBINED_T4,11SCI217B,active
12ACC3A_t4_2016,12ACC_COMBINED_T4,12ACC3A,active
12ACC5B_t4_2016,12ACC_COMBINED_T4,12ACC5B,active
12BIO3A_t4_2016,12BIO_COMBINED_T4,12BIO3A,active
12BIO6B_t4_2016,12BIO_COMBINED_T4,12BIO6B,active
12CHE4A_t4_2016,12CHE_COMBINED_T4,12CHE4A,active
12CHE7B_t4_2016,12CHE_COMBINED_T4,12CHE7B,active
12LST3A_t4_2016,12LST_COMBINED_T4,12LST3A,active
12LST4B_t4_2016,12LST_COMBINED_T4,12LST4B,active
12MAA2A_t4_2016,12MAA_COMBINED_T4,12MAA2A,active
12MAA2B_t4_2016,12MAA_COMBINED_T4,12MAA2B,active
12SCI216A_t4_2016,12SCI21_COMBINED_T4,12SCI216A,active
12SCI217B_t4_2016,12SCI21_COMBINED_T4,12SCI217B,active
12SIS310C33A_t4_2016,12SIS310C_COMBINED_T4,12SIS310C33A,active
12SIS310C37B_t4_2016,12SIS310C_COMBINED_T4,12SIS310C37B,active
GP-10SELA_t4_2016,10SEL_COMBINED_T4,GP-10SELA,active
GP-10SELB_t4_2016,10SEL_COMBINED_T4,GP-10SELB,active
GP-10SELC_t4_2016,10SEL_COMBINED_T4,GP-10SELC,active
GP-10SELD_t4_2016,10SEL_COMBINED_T4,GP-10SELD,active
