course_id,short_name,long_name,term_id,status,account_id
07DAN_PLANNING_16_17,07DAN,Dance07DAN,PLANNING_16_17,active,PLANNINGACC_16_17
07DANC_PLANNING_16_17,07DANC,DanceC,PLANNING_16_17,active,PLANNINGACC_16_17
07DRA_PLANNING_16_17,07DRA,Drama07DRA,PLANNING_16_17,active,PLANNINGACC_16_17
07DRAC_PLANNING_16_17,07DRAC,DramaC,PLANNING_16_17,active,PLANNINGACC_16_17
07DT_PLANNING_16_17,07DT,Design and Technology07DT,PLANNING_16_17,active,PLANNINGACC_16_17
07DTB_PLANNING_16_17,07DTB,Design and TechnologyB,PLANNING_16_17,active,PLANNINGACC_16_17
07DTC_PLANNING_16_17,07DTC,Design and TechnologyC,PLANNING_16_17,active,PLANNINGACC_16_17
07ENGA_PLANNING_16_17,07ENGA,EnglishA,PLANNING_16_17,active,PLANNINGACC_16_17
07ENGB_PLANNING_16_17,07ENGB,EnglishB,PLANNING_16_17,active,PLANNINGACC_16_17
07ENGC_PLANNING_16_17,07ENGC,EnglishC,PLANNING_16_17,active,PLANNINGACC_16_17
07ENGD_PLANNING_16_17,07ENGD,EnglishD,PLANNING_16_17,active,PLANNINGACC_16_17
07FTEC_PLANNING_16_17,07FTEC,Food Technology07FTEC,PLANNING_16_17,active,PLANNINGACC_16_17
07FTECB_PLANNING_16_17,07FTECB,Food TechnologyB,PLANNING_16_17,active,PLANNINGACC_16_17
07FTECC_PLANNING_16_17,07FTECC,Food TechnologyC,PLANNING_16_17,active,PLANNINGACC_16_17
07HPEA_PLANNING_16_17,07HPEA,Health & Physical EducationA,PLANNING_16_17,active,PLANNINGACC_16_17
07HPEB_PLANNING_16_17,07HPEB,Health & Physical EducationB,PLANNING_16_17,active,PLANNINGACC_16_17
07HUMA_PLANNING_16_17,07HUMA,HumanitiesA,PLANNING_16_17,active,PLANNINGACC_16_17
07HUMB_PLANNING_16_17,07HUMB,HumanitiesB,PLANNING_16_17,active,PLANNINGACC_16_17
07HUMC_PLANNING_16_17,07HUMC,HumanitiesC,PLANNING_16_17,active,PLANNINGACC_16_17
07HUMD_PLANNING_16_17,07HUMD,HumanitiesD,PLANNING_16_17,active,PLANNINGACC_16_17
07ICT_PLANNING_16_17,07ICT,Information Communication & Technology07ICT,PLANNING_16_17,active,PLANNINGACC_16_17
07ICTD_PLANNING_16_17,07ICTD,Information Communication & TechnologyD,PLANNING_16_17,active,PLANNINGACC_16_17
07ITL_PLANNING_16_17,07ITL,Italian07ITL,PLANNING_16_17,active,PLANNINGACC_16_17
07ITLD_PLANNING_16_17,07ITLD,ItalianD,PLANNING_16_17,active,PLANNINGACC_16_17
07JAP_PLANNING_16_17,07JAP,Japanese07JAP,PLANNING_16_17,active,PLANNINGACC_16_17
07JAPB_PLANNING_16_17,07JAPB,JapaneseB,PLANNING_16_17,active,PLANNINGACC_16_17
07JAPD_PLANNING_16_17,07JAPD,JapaneseD,PLANNING_16_17,active,PLANNINGACC_16_17
07LITA_PLANNING_16_17,07LITA,07LITA,PLANNING_16_17,active,PLANNINGACC_16_17
07LSA_PLANNING_16_17,07LSA,07LSA,PLANNING_16_17,active,PLANNINGACC_16_17
07LSB_PLANNING_16_17,07LSB,07LSB,PLANNING_16_17,active,PLANNINGACC_16_17
07MATA_PLANNING_16_17,07MATA,MathematicsA,PLANNING_16_17,active,PLANNINGACC_16_17
07MATB_PLANNING_16_17,07MATB,MathematicsB,PLANNING_16_17,active,PLANNINGACC_16_17
07MATC_PLANNING_16_17,07MATC,MathematicsC,PLANNING_16_17,active,PLANNINGACC_16_17
07MATD_PLANNING_16_17,07MATD,MathematicsD,PLANNING_16_17,active,PLANNINGACC_16_17
07MATE_PLANNING_16_17,07MATE,MathematicsE,PLANNING_16_17,active,PLANNINGACC_16_17
07MUS_PLANNING_16_17,07MUS,Music07MUS,PLANNING_16_17,active,PLANNINGACC_16_17
07MUSA_PLANNING_16_17,07MUSA,MusicA,PLANNING_16_17,active,PLANNINGACC_16_17
07REA_PLANNING_16_17,07REA,ReligionA,PLANNING_16_17,active,PLANNINGACC_16_17
07REB_PLANNING_16_17,07REB,ReligionB,PLANNING_16_17,active,PLANNINGACC_16_17
07REC_PLANNING_16_17,07REC,ReligionC,PLANNING_16_17,active,PLANNINGACC_16_17
07RED_PLANNING_16_17,07RED,ReligionD,PLANNING_16_17,active,PLANNINGACC_16_17
07VAR_PLANNING_16_17,07VAR,Visual Art07VAR,PLANNING_16_17,active,PLANNINGACC_16_17
07VARA_PLANNING_16_17,07VARA,Visual ArtA,PLANNING_16_17,active,PLANNINGACC_16_17
08DANA_PLANNING_16_17,08DANA,DanceA,PLANNING_16_17,active,PLANNINGACC_16_17
08DANC_PLANNING_16_17,08DANC,DanceC,PLANNING_16_17,active,PLANNINGACC_16_17
08DRAA_PLANNING_16_17,08DRAA,DramaA,PLANNING_16_17,active,PLANNINGACC_16_17
08DRAC_PLANNING_16_17,08DRAC,DramaC,PLANNING_16_17,active,PLANNINGACC_16_17
08DT_PLANNING_16_17,08DT,Design Technology08DT,PLANNING_16_17,active,PLANNINGACC_16_17
