merged_id,merged_name,source_id
11LST_COMBINED,"11 Legal Studies Combined",11LST3A
11LST_COMBINED,"11 Legal Studies Combined",11LST4B
11ACC_COMBINED,"11 Accounting Combined",11ACC5A
11ACC_COMBINED,"11 Accounting Combined",11ACC7B
12SIS310C_COMBINED,"12 SIS310C Combined",12SIS310C33A
12SIS310C_COMBINED,"12 SIS310C Combined",12SIS310C37B
10HPE_COMBINED,"10 HPE Combined",10HPEC2B
10HPE_COMBINED,"10 HPE Combined",10HPED
10HPE_COMBINED,"10 HPE Combined",10HPEE
12SCI21_COMBINED,"12 Science 21 Combined",12SCI216A
12SCI21_COMBINED,"12 Science 21 Combined",12SCI217B
07SCI_COMBINED,"7 Science Combined",07SCIA
07SCI_COMBINED,"7 Science Combined",07SCIB
07SCI_COMBINED,"7 Science Combined",07SCIC
07SCI_COMBINED,"7 Science Combined",07SCID
11CHE_COMBINED,"11 Chemistry Combined",11CHE4A
11CHE_COMBINED,"11 Chemistry Combined",11CHE7B
09HPE_COMBINED,"9 HPE Combined",09HPEC
09HPE_COMBINED,"9 HPE Combined",09HPED
11SCI21_COMBINED,"11 Science 21 Combined",11SCI216A
11SCI21_COMBINED,"11 Science 21 Combined",11SCI217B
12CHE_COMBINED,"12 Chemistry Combined",12CHE4A
12CHE_COMBINED,"12 Chemistry Combined",12CHE7B
08HUM_COMBINED,"8 Humanities Combined",08HUMA
08HUM_COMBINED,"8 Humanities Combined",08HUMB
08HUM_COMBINED,"8 Humanities Combined",08HUMC
08HUM_COMBINED,"8 Humanities Combined",08HUMD
08HUM_COMBINED,"8 Humanities Combined",08HUME
12BIO_COMBINED,"12 Biology Combined",12BIO3A
12BIO_COMBINED,"12 Biology Combined",12BIO6B
11PE_COMBINED,"11 PE Combined",11PE3A
11PE_COMBINED,"11 PE Combined",11PE5B
12ACC_COMBINED,"12 Accounting Combined",12ACC3A
12ACC_COMBINED,"12 Accounting Combined",12ACC5B
08HPE_COMBINED,"8 HPE Combined",08HPEB
08HPE_COMBINED,"8 HPE Combined",08HPED
12MAA_COMBINED,"12 Maths A Combined",12MAA2A
12MAA_COMBINED,"12 Maths A Combined",12MAA2B
12LST_COMBINED,"12 Legal Studies Combined",12LST3A
12LST_COMBINED,"12 Legal Studies Combined",12LST4B
08SCI_COMBINED,"8 Science Combined",08SCIA
08SCI_COMBINED,"8 Science Combined",08SCIB
08SCI_COMBINED,"8 Science Combined",08SCIC
08SCI_COMBINED,"8 Science Combined",08SCID
08SCI_COMBINED,"8 Science Combined",08SCIE
10SEL_COMBINED,"10 SEL Combined",GP-10SELA
10SEL_COMBINED,"10 SEL Combined",GP-10SELB
10SEL_COMBINED,"10 SEL Combined",GP-10SELC
10SEL_COMBINED,"10 SEL Combined",GP-10SELD
11BIO_COMBINED,"11 Biology Combined",11BIO3A
11BIO_COMBINED,"11 Biology Combined",11BIO5A
11BIO_COMBINED,"11 Biology Combined",11BIO6B
09SCI_COMBINED,"9 Science Combined",09SCIA
09SCI_COMBINED,"9 Science Combined",09SCIB
09SCI_COMBINED,"9 Science Combined",09SCIC
09SCI_COMBINED,"9 Science Combined",09SCID
