Name,Start,End
TERM1_2017,23/01/2017,31/03/2017
TERM2_2017,17/04/2017,23/06/2017
TERM3_2017,10/07/2017,15/09/2017
TERM4_2017,02/10/2017,24/11/2017
ROT1_2017,23/01/2017,25/02/2017
ROT2_2017,25/02/2017,31/03/2017
ROT3_2017,17/04/2017,20/05/2017
ROT4_2017,20/05/2017,23/06/2017
ROT5_2017,10/07/2017,12/08/2017
ROT6_2017,12/08/2017,15/09/2017
ROT7_2017,02/10/2017,28/10/2017
ROT8_2017,28/10/2017,24/11/2017
SEM1_2017,23/01/2017,23/06/2017
SEM2_2017,10/07/2017,24/11/2017
YEAR_2017,23/01/2017,24/11/2017
